Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Accepting NHS patients by referral only,Value  (Accepting NHS patients by referral only),Banding Classification  (Accepting NHS patients by referral only),Accepting new adult NHS patients,Value  (Accepting new adult NHS patients),Banding Classification  (Accepting new adult NHS patients),Accepting new adult patients entitled to free NHS dental care,Value  (Accepting new adult patients entitled to free NHS dental care),Banding Classification  (Accepting new adult patients entitled to free NHS dental care),Accepting children as new NHS patients,Value  (Accepting children as new NHS patients),Banding Classification  (Accepting children as new NHS patients),Urgent NHS dental appointments,Value  (Urgent NHS dental appointments),Banding Classification  (Urgent NHS dental appointments),Induction loop (Induction loop in place),Car parking (Is there car parking at this organisation?)
Huddersfield Dental Care Centre,V003280,DEN,Huddesrfield Dental Care Centre,25 Queensgate,,Huddersfield,West Yorkshire,HD1 2RD,Tel: 01484 530539,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003280,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,no
Ewood House Dental Surgery,V003808,DEN,Ewood House Dental & Orthodontic Practice,204-206 Bolton Road,,Blackburn,Lancashire,BB2 4HU,Tel: 01254 51579,66 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003808,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Glen Lyon Dental Practice,V007435,DEN,188 Whalley Road,,,Accrington,Lancashire,BB5 5AB,Tel: 01254 232518,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007435,0,0,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
The Dental Surgery,V006341,DEN,Unit 1,69a Main Street,Frodsham,Cheshire,,WA6 7DF,Tel: 01928 733974,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006341,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
Digmoor Dental Practice,V002435,DEN,Digmoor Dental Practice,156 Birkrig,,Skelmersdale,Lancashire,WN8 9HP,Tel: 01695 724736,16 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002435,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Copley Dental Care,V042461,DEN,Glendene,"Wakefield Road, Copley",COPLEY,Halifax,,HX3 0UA,Tel: 01422 355667,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V042461,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,,
Genix Healthcare Huddersfield,V011619,DEN,Britannia Buildings,St George's Square,,Huddersfield,,HD1 1LG,Tel: 01484 545466,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V011619,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,no
Shepley Dental Practice,V003193,DEN,"Dental Surgery, Weaver Cottage",21 Marsh Lane,,Shepley,,HD8 8AQ,Tel: 01484 606050,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003193,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Elland Dental Practice,V002013,DEN,,Lowfield Place,Victoria Road,Elland,,HX5 0AB,Tel: 01422 370353,24 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002013,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,
JG Pearson Dental Surgeons,V002017,DEN,98 Southgate,Elland,,Halifax,West Yorkshire,HX5 0EP,Tel: 01422 372623,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002017,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
183dental,V005953,DEN,183dental,183 Warrington Road,"Whiston, Prescot",Merseyside,,L35 5AF,Tel: 0151 426 5474,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005953,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,yes,yes
MR NT SALEEM,V084440,DEN,Birkby Dental Care,2 Grimscar Avenue,Birkby,Huddersfield,,HD2 2TW,,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V084440,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
Mill Hill Dental Surgery,V003835,DEN,17 New Wellington Street,Blackburn,,Lancs,Lancashire,BB2 4DY,Tel: 01254 583951,16 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003835,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Accrington Road Dental Surgery,V003860,DEN,128-130 Accrington Road,128-130 Accrington Road,,Blackburn,Lancashire,BB1 2AE,Tel: 01254 52165,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003860,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,yes,yes
The Dental Centre Accrington Rd,V013240,DEN,The Dental Centre,85-91 Accrington Road,,Blackburn,Lancashire,BB1 2AF,Tel: 01254 261730,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V013240,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Dr A J Harvey,V003851,DEN,66 New Chapel Street,Mill Hill,,Blackburn,Lancashire,BB2 4DT,Tel: 01254 672106,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003851,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,yes
Almondbury Dental Practice,V003311,DEN,5 Benomley Road,Huddersfield,,W Yorkshire,,HD5 8LR,Tel: 01484 543970,17 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003311,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
Lawton Dental Practice,V005723,DEN,Lawton Dental Care,33 Lawton Road,Alsager,Stoke on Trent,Staffordshire,ST7 2AA,Tel: 01270876026,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005723,0,0,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,yes
Dalton Dental Practice,V003314,DEN,17 Broad Lane,Dalton,Huddersfield,W Yorkshire,,HD5 9BU,Tel: 01484 425221,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003314,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Rainford Orthodontic Practice,V005973,DEN,13 Church Road,Rainford,St. Helens,Merseyside,,WA11 8HE,Tel: 01744 882222,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005973,0,0,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,yes
Mereside Dental Practice,V005666,DEN,69a Crewe Road,Alsager,,Stoke On Trent,,ST7 2EZ,Tel: 01270 875533,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005666,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,yes,no
Alsager Dental Care,V005667,DEN,42b Crewe Road,Alsager,,Stoke On Trent,,ST7 2ET,Tel: 01270 878 320,15 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005667,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,yes
Fartown Dental Practice,V003278,DEN,306 Bradford Road,Huddersfield,,W Yorkshire,West Yorkshire,HD1 6LQ,Tel: 01484 545045,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003278,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Cherry Tree Dental Practice,V019623,DEN,376 - 378 Preston Old Road,,,Blackburn,,BB2 5LL,Tel: 01254 202888,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V019623,0,0,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
Ravat & Ray Dental Care (Burnley),V015087,DEN,The Fold Dental Practice with dental partners,The Fold Centre for Integrated Health & Wellbeing,2-8 Venice Avenue,Burnley,Lancashire,BB11 5JX,Tel: 01282 470340,49 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V015087,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,
Origins Dental,V014129,DEN,,Whiston Primary Care Resource Centre,,"Old Colliery Road, Whiston",,L35 3SX,Tel: 0151 426 4066,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V014129,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
TLC 4 Smiles Ltd,V007625,DEN,131-135 Ball Haye Green,Leek,Staffordshire,Staffordshire,,ST13 6BH,Tel: 01538 371003,9 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007625,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Boulevard Dental Practice,V003853,DEN,11a Railway Road,Blackburn,,Lancashire,,BB1 5AX,Tel: 01254 583964,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003853,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
"mydentist, Railway Road, Blackburn ",V000203,DEN,,15-17 Railway Road,,Blackburn,Lancashire,BB1 5AX,Tel: 01254 691311,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V000203,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,no
Firbeck Dental Practice,V002408,DEN,124 Firbeck,Skelmersdale,Lancs,,,WN8 6PW,Tel: 01695 726343,17 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002408,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,no,yes
"mydentist, Greenes Road, Whiston",V005950,DEN,,14 Greenes Road,Whiston,Prescott,Merseyside,L35 3RF,Tel: 0151 430 9373,15 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005950,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,no
Walrus Dental Care Ltd,V002000,DEN,31 Highroad Well Lane,Halifax,,W Yorkshire,West Yorkshire,HX2 0LY,Tel: 01422 347176,31 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002000,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Hartleys Dental Surgery,V003315,DEN,409 Wakefield Road,Dalton,Huddersfield,W Yorkshire,,HD5 8DB,Tel: 01484 422592,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003315,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
Prescot House Dental Surgery,V005960,DEN,3 High Street,Prescot,Merseyside,,,L34 3LD,Tel: 0151 426 6460,23 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005960,,,,false,no,,false,no,,false,no,,false,no,,true,yes,no,yes
Park Dental Practice,V014044,DEN,16 Ball Haye Road,,,Leek,Staffordshire,ST13 6AF,Tel: 01538 387862,14 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V014044,,,,false,no,,false,no,,false,no,Children up to the age of 18,true,yes,,false,no,no,no
Kidsgrove Bank Dental Surgery,V007616,DEN,102 Liverpool Road,Kidsgrove,Stoke-on-Trent,Staffordshire,Staffordshire,ST7 4EH,Tel: 01782 785973,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007616,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Mr V Patel,V005544,DEN,58 Coal Clough Lane,Burnley,Lancs,,,BB11 4NS,Tel: 01282 420978,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005544,0,0,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Silk Mill Dental Care,V007624,DEN,18 Stockwell Street,Leek,Staffordshire,,,ST13 6DS,Tel: 01538 382210,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007624,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,no
Mr D E Bowles,V005501,DEN,23-25 Todmorden Road,Burnley,Lancs,,,BB10 4AB,Tel: 01282 451576,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005501,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
Kidsgrove Dental Practice,V007619,DEN,Kidsgrove Dental Surgery,79 Liverpool Road,,Stoke On Trent,Staffordshire,ST7 4EW,Tel: 01782 782520,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007619,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,no
Butt Lane Dental Surgery,V007613,DEN,136 Congleton Road,Butt Lane,Stoke-on-Trent,Staffordshire,,ST7 1LX,Tel: 01782 774396,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007613,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
"Total Orthodontics, Blackburn",V006902,DEN,19 Richmond Terrace,Blackburn,,Lancs,,BB1 7BL,Tel: 01254 261161,20 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006902,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,no
L A Southworth & Associates,V003859,DEN,21 Richmond Terrace,Blackburn,,Lancs,,BB1 7BL,Tel: 01254 670105,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003859,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,no
Mr A A Shaw,V007453,DEN,Smart Dental Care - Rishton Dental Centre,28 High Street,Rishton,Blackburn,,BB1 4LA,Tel: 01254 887528,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007453,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,yes
"mydentist, Crewe Road, Haslington",V004923,DEN,,99 Crewe Road,Haslington,Crewe,Cheshire,CW1 5RE,Tel: 01270500447,20 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004923,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,no
Bupa Dental Care Burnley,V014008,DEN,Bupa Dental Care,Red Lion Street,,Burnley,Lancashire,BB11 2AE,Tel: 01282 833500,19 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V014008,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,yes
Barbara Castle Way Health Centre - Dental Department ,V016527,DEN,Barbara Castle Way Health centre,Level 3,,Blackburn,Lancashire,BB2 1AX,Tel: 01254 283919,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V016527,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,
